Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bermuda,27157.0,27901.0,28755.0,29655.0,30604.0,31527.0,32241.0,33008.0,33784.0,34569.0,35395.0,35363.0,35368.0,35416.0,35474.0,35521.0,35946.0,36355.0,36756.0,37146.0,37970.0,38418.0,38872.0,39386.0,39894.0,40384.0,40886.0,41353.0,41796.0,42190.0,42532.0,42248.0,41834.0,41946.0,42135.0,42359.0,42562.0,42754.0,43016.0,43215.0,43567.0,44011.0,44285.0,44571.0,44863.0,45195.0,45560.0,45906.0,46171.0,46378.0,45886.0,45259.0,45179.0,45096.0,45023.0,44957.0,44258.0,43416.0,43029.0,42625.0,42200.0,41715.0,41223.0
Bhutan,126251.0,130143.0,134394.0,138732.0,143021.0,147252.0,151412.0,155771.0,160344.0,165152.0,170161.0,175330.0,180661.0,186168.0,191858.0,197748.0,203857.0,210197.0,216783.0,223534.0,230378.0,237321.0,244365.0,251609.0,259097.0,266785.0,274690.0,282822.0,291136.0,299637.0,307609.0,312908.0,301403.0,288329.0,289600.0,294439.0,301689.0,309035.0,317382.0,327962.0,340261.0,353335.0,367183.0,381792.0,397204.0,411314.0,422358.0,432094.0,441750.0,451111.0,460133.0,468827.0,477108.0,484970.0,492615.0,500206.0,507791.0,516402.0,525958.0,535278.0,544166.0,552490.0,560261.0
Bolivia,2011208.0,2057109.0,2104324.0,2151256.0,2197176.0,2243802.0,2292031.0,2341507.0,2392417.0,2445000.0,2499286.0,2555433.0,2613635.0,2674514.0,2737826.0,2802654.0,2868889.0,2936549.0,3005729.0,3076340.0,3148061.0,3220738.0,3294740.0,3370437.0,3447622.0,3526047.0,3606062.0,3687927.0,3771755.0,3857400.0,3944403.0,4033027.0,4123501.0,4209995.0,4292365.0,4376745.0,4463961.0,4554504.0,4648783.0,4747541.0,4851108.0,4963640.0,5085593.0,5212455.0,5343196.0,5477335.0,5614336.0,5752921.0,5892126.0,6031280.0,6170180.0,6309718.0,6449685.0,6591185.0,6735916.0,6881432.0,7025856.0,7169627.0,7312945.0,7455693.0,7593734.0,7726980.0,7862863.0
Bosnia and Herzegovina,1878686.0,1906230.0,1937135.0,1971903.0,2009902.0,2050794.0,2094512.0,2141053.0,2190074.0,2240227.0,2290080.0,2338474.0,2385024.0,2430712.0,2476973.0,2524214.0,2572229.0,2620521.0,2668880.0,2717272.0,2765443.0,2812827.0,2858867.0,2902929.0,2943855.0,2980834.0,3013929.0,3042883.0,3066553.0,3084388.0,3096906.0,3103165.0,2906731.0,2622671.0,2471532.0,2468283.0,2614582.0,2744855.0,2811308.0,2852730.0,2885013.0,2907936.0,2919860.0,2915328.0,2886948.0,2853534.0,2832833.0,2801385.0,2756407.0,2708940.0,2662776.0,2618068.0,2572078.0,2531636.0,2494930.0,2454005.0,2412441.0,2369660.0,2324768.0,2279522.0,2234386.0,2189487.0,2157762.0
Botswana,258774.0,261709.0,264896.0,268317.0,272766.0,274992.0,274005.0,272907.0,271888.0,271175.0,271641.0,276573.0,289032.0,307401.0,328157.0,349897.0,372566.0,396143.0,420658.0,446041.0,471768.0,496427.0,517712.0,536885.0,556582.0,576937.0,597903.0,619501.0,641956.0,665534.0,690293.0,716146.0,744282.0,774697.0,805803.0,837313.0,869357.0,901605.0,933544.0,965072.0,996249.0,1026961.0,1056697.0,1085463.0,1113887.0,1142326.0,1171271.0,1201411.0,1232906.0,1265019.0,1296818.0,1326859.0,1354844.0,1382815.0,1411719.0,1442111.0,1474947.0,1509630.0,1544215.0,1577834.0,1611382.0,1643461.0,1676627.0
Brazil,38946430.0,39999791.0,41096496.0,42267024.0,43533179.0,44873615.0,46247968.0,47662049.0,49122574.0,50632853.0,52199085.0,53815928.0,55486868.0,57217189.0,59000526.0,60833433.0,62714084.0,64649786.0,66634722.0,68645122.0,70665645.0,72676386.0,74665855.0,76641897.0,78618045.0,80611684.0,82622303.0,84646706.0,86697760.0,88770384.0,90868427.0,92992528.0,95149326.0,97355941.0,99614642.0,101918393.0,104257762.0,106627027.0,109006750.0,111375254.0,113723821.0,116036453.0,118297028.0,120484166.0,122599349.0,124649426.0,126631537.0,128555114.0,130440998.0,132309102.0,134182780.0,136055226.0,137882323.0,139643831.0,141291467.0,142802802.0,144236047.0,145586706.0,146810991.0,147950382.0,148969796.0,149767451.0,150400744.0
British Virgin Islands,3699.0,3771.0,3865.0,3954.0,4048.0,4148.0,4247.0,4345.0,4439.0,4535.0,4652.0,4822.0,5022.0,5216.0,5415.0,5613.0,5818.0,6025.0,6231.0,6441.0,6684.0,6992.0,7346.0,7717.0,8112.0,8522.0,8930.0,9328.0,9716.0,10101.0,10479.0,10822.0,11131.0,11441.0,11765.0,12105.0,12454.0,12805.0,13162.0,13525.0,13879.0,14328.0,14942.0,15619.0,16291.0,16947.0,17594.0,18229.0,18853.0,19463.0,19839.0,20211.0,20639.0,20919.0,21247.0,21627.0,21998.0,22327.0,22614.0,22891.0,23197.0,23442.0,23656.0
Brunei Darussalam,43405.0,45022.0,46764.0,48781.0,51129.0,53814.0,56813.0,60088.0,63574.0,67204.0,70888.0,74423.0,77685.0,81010.0,84717.0,88780.0,93093.0,97556.0,102062.0,106512.0,110861.0,115115.0,119496.0,124169.0,129078.0,134198.0,139487.0,144851.0,150212.0,155557.0,160897.0,165858.0,170032.0,173965.0,178263.0,182968.0,188168.0,193927.0,200183.0,206787.0,213615.0,220592.0,227635.0,234650.0,241545.0,248254.0,254755.0,261099.0,267340.0,273510.0,279627.0,285068.0,289702.0,294027.0,298172.0,302199.0,305956.0,309358.0,312397.0,315086.0,317577.0,319969.0,322264.0
Bulgaria,5229328.0,5291243.0,5354518.0,5416396.0,5474638.0,5522389.0,5561288.0,5597872.0,5633284.0,5663500.0,5685679.0,5704263.0,5719726.0,5733707.0,5748139.0,5751074.0,5755282.0,5768475.0,5760932.0,5757488.0,5777551.0,5800762.0,5826257.0,5858016.0,5889929.0,5896856.0,5890643.0,5889240.0,5888590.0,5818762.0,5717728.0,5670017.0,5622831.0,5592672.0,5591744.0,5587864.0,5580058.0,5568563.0,5553373.0,5537362.0,5521592.0,5427238.0,5327942.0,5305099.0,5283071.0,5256073.0,5220366.0,5176982.0,5129121.0,5076737.0,5015444.0,4948648.0,4881414.0,4814205.0,4751668.0,4693084.0,4635204.0,4577516.0,4519501.0,4463647.0,4418066.0,4373155.0,4113496.0
Burkina Faso,2747408.0,2784842.0,2820311.0,2848908.0,2872365.0,2898070.0,2926020.0,2955791.0,2987939.0,3021621.0,3057279.0,3092800.0,3128867.0,3167896.0,3211487.0,3260229.0,3314439.0,3377205.0,3446377.0,3519457.0,3598044.0,3680175.0,3765504.0,3857582.0,3954746.0,4052763.0,4147987.0,4240757.0,4335593.0,4434634.0,4539006.0,4642117.0,4747490.0,4864310.0,4992774.0,5130974.0,5272892.0,5421378.0,5593659.0,5789949.0,5999424.0,6221808.0,6454255.0,6692664.0,6935961.0,7182028.0,7424317.0,7655353.0,7875966.0,8098235.0,8328092.0,8570848.0,8833680.0,9108761.0,9397743.0,9703705.0,10024653.0,10357389.0,10694927.0,11040724.0,11407221.0,11793330.0,12185694.0
Burundi,1428375.0,1463447.0,1498656.0,1523236.0,1566713.0,1614113.0,1658365.0,1705522.0,1748202.0,1784378.0,1820679.0,1865288.0,1841986.0,1818985.0,1872125.0,1920750.0,1960563.0,2012198.0,2074989.0,2120967.0,2230750.0,2335414.0,2375980.0,2425996.0,2466858.0,2498287.0,2519351.0,2561217.0,2601462.0,2630444.0,2668427.0,2710798.0,2788533.0,2580828.0,2587647.0,2870539.0,2840833.0,2819460.0,2906869.0,3020979.0,3114122.0,3228115.0,3355274.0,3498292.0,3672749.0,3842032.0,3999697.0,4160877.0,4354067.0,4601145.0,4818278.0,4966145.0,5114316.0,5266391.0,5412142.0,5462539.0,5473327.0,5568790.0,5754654.0,5990972.0,6209464.0,6430031.0,6669914.0
Cabo Verde,109602.0,110563.0,112420.0,114771.0,117434.0,120532.0,124122.0,128146.0,132599.0,137479.0,142343.0,145654.0,146986.0,147774.0,148766.0,149298.0,149335.0,149568.0,150112.0,151015.0,152619.0,154970.0,157561.0,160075.0,162404.0,164544.0,166553.0,168488.0,170389.0,172529.0,175315.0,179159.0,184230.0,190219.0,196828.0,203875.0,211309.0,219061.0,227032.0,235174.0,243233.0,251133.0,258999.0,266836.0,274671.0,282539.0,290459.0,298435.0,306412.0,314291.0,322461.0,330875.0,339071.0,347078.0,354920.0,362440.0,369431.0,375930.0,382057.0,387976.0,393798.0,399471.0,404943.0
